3638,1980,1,28,,,-1.408,29.2,NYAMURAGIRA,CONGO,Central Africa,Volcano,Event that only caused a seiche or disturbance in an inland river,,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3638,"A lava lake in the summit crater, active since at least 1921, drained in 1938 during a major flank eruption. The flows were said to have reached Lake Kivu and the contrast between the lava and the water generated mini tsunamis."
3644,1980,7,11,18,,29,33,GULF OF SUEZ,EGYPT,Red Sea and Persian Gulf,Earthquake,Probable Tsunami,5.9,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3644,"July 11, 1879, Gulf of Suez. An earthquake consisting of three moderately violent shocks was felt at night in Cairo. In the Bab al-Nasr quarter (near the mosque of al-Hakim) sorne isolated walls fell and an old, somewhat dilapidated, minaret suffered so badly that it had to be taken down. The
shocks were felt also near Giza and it was rather strong
in Alexandria.' At Tor, in Sinai, the earthquake was
associated with a sea-wave that flooded the village. The
shock was reported from sorne of the railway stations to
Wasta and Madinat al-Faiyum. (reference #3845)"
3601,1980,4,28,18,33,-19.941,168.953,VANUATU ISLANDS,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,6.4,32,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3601,"Tide gauge records were available from four stations: <ul>
<dl>(1) Port Vila, Efate, Vanuatu; 1-min; 17 deg 45 min 19.2 sec S; 168 deg 18 min 27.7 sec E
<dl>(2) Luganville, Santo, Vanuatu; 1-min; 15 deg 30 min 54 sec S; 167 deg 11 min 18 sec E 
<dl>(3) Suva, Viti Levu, Fiji; 1-min; 18 deg 08 min S; 178 deg 26 min E
<dl>(4) Lautoka, Viti Levu, Fiji; 1-min; 17 deg 36 min S; 177 deg 26 min E</ul>
<P>Link to a <a href=""http://www.ngdc.noaa.gov/hazard/img/vanuatu_4_28_2008.jpg""><U><B>Plot of tide gauge records</B></U></a>.
<P>Tsunami-like oscillations were identified in the records of the Vanuatu stations (located close to the source) in about 2.5 hours after the main shock, however, it is not clear are these oscillations related to the earthquake or were generated by some atmospheric activity. Some similar trains of oscillations were observed at these sites before the earthquakes. The oscillations at Port Vila are very regular and monochromatic and are probably associated with the fundamental mode of the corresponding local bay. Thus, these oscillations may be generated by various sources. <P>(above from reference #4001)"
3646,1980,3,31,,,27.7,34,GULF OF SUEZ,EGYPT,Red Sea and Persian Gulf,Earthquake,Probable Tsunami,7,,,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3646,"<P>March 31, 1969, Red Sea. Preceded and followed by many strong shocks, an earthquake with an epicentre offshore, in the Gulf of Suez, affected the area of the islands of Shadwan, Tawila and Gubal. About 10 km west of this zone, in the sea, a coral reef was raised permanently above sea-level. Dead fish and some agitation of the sea were noticed after the main shock.  (reference #3845)"
3618,1980,5,27,17,11,36.939,3.578,ALGIERS,ALGERIA,Mediterranean Sea,Earthquake,Definite Tsunami,5.7,8,,Moderate (~$1 to $5 million),Many (~101 to 1000 houses),Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3618,"A 15 cm tsunami was observed at Mahon and Palma
de Mallorca, Spain.  (reference #1053)"
3585,1980,2,4,,,-12,-77,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3585,"February 4, 1878, 23:45 [local time], event validity questionable. There was a mild earthquake at Callao; the sea raged on the 4th. (reference #415)"
3645,1981,7,20,9,30,15.7,39.6,OFFSHORE MASSAWA,ERITREA,Red Sea and Persian Gulf,Earthquake,Definite Tsunami,6.2,,,Moderate (~$1 to $5 million),Many (~101 to 1000 houses),,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3645,"July 20, 1884, Ethiopia. A damaging earthquake occurred in Eritrea, with an epicentre probably offshore from Massawa.  High sea waves built up in the harbour at Massawa, especially in the bay between Taulud and Edaga Barai, and swept over the causeway. Ships in the harbour were seen to rock violently. Several times the sea flooded the land, leaving dead fish on the shore. The shocks were also strongly felt on the Dahlak islands. Aftershocks continued intermittent1y until October. Contrary to some catalogues, there is no indication that Cairo was affected by this earthquake. (reference #3845)
<P>1884  Massawa (present-day Mitsiwa), Eritrea. On 20 July 1884, an earthquake occurred at sea offshore from Massawa. Reportedly, sea waves built up in the Massawa harbor, mostly between the localities known as Taulud and Edaga Barai. The waves swept over a causeway and ships in the harbor were seen swaying violently. Multiple flooding from the sea over land left dead fish onshore. (reference #4083)"
3622,1981,12,26,12,26,21.799,120.547,TAIWAN,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7,10,,Limited (<$1 million),Some (~51 to 100 houses),Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3622,"On 26 December 2006 after an Mw 7.1 (Ms 7.2) earthquake occurred in the Luzon Strait near Taiwan Island, the National Marine Environment Forecasting Center, Beijing, China, issued a tsunami information bulletin for China. A tsunami with a height of 0.05 m above the normal tide level (crest-to-trough amplitude of 0.10 m) was observed at 2 tide gauges.
In this event, Hong Kong Observatory issued a tsunami information bulletin for Hong Kong. A tsunami with a height of 0.07 m above the normal tide level (crest-to-trough amplitude of 0.11 m) was observed at a tide gauge."
3639,1981,1,6,,,4.9,31.7,NILE RIVER,SUDAN,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3639,"The activity in the Gondokoro Gorge continued intermittently. Late at night on 6 January 1857, another very strong earthquake occurred in the Gondokoro region which was followed by a long series of minor shocks. This event, which at Gondokoro was strong enough to crack walls and ceilings, to set up waves on the Nile and to shake leaves from trees, had its epicenter near Ilengwe, where rockfalls and violent movements of the ground caused panic among the natives. (reference #3790)"
3642,1981,2,16,,,35.5,25,CRETE,GREECE,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3642,"February 17, 1810, Saturday, Hellenic Arc. At the beginning of the seventh hour of the night, three strong shocks were felt in Cairo with a total duration of about four minutes.  During the late afternoon, there was another earthquake, which though weaker than the first, still caused fear and agitation. These effects were produced by a large, probably intermediate-depth event with an epicentre off Crete, where many places were destroyed and many people killed. All the other islands in the southern part of the Archipelago suffered some damage. In Malta, the shock caused panic, and widespread minor damage in Valletta, where ships in the harbour were violently shaken. The effects extended to Syria; in Lattakia, it is related that ancient buildings that had previously been swallowed up were seen at the bottom of a chasm, before it closed up again. The shock was also felt in central Italy, Turkey, Cyprus and various parts of North Africa. Minor damage was reported from Rashid (Rosetta) and Alexandria, where the earthquake set up waves in the harbour and in canals. The shock was probably also strongly felt in the Siwa oasis. (reference #3845)"
